$\delta$,$N$,data,error
9.999999999998899e-05,312,0.16657499999999986,0.013156899268952991
9.999999999998899e-05,396,0.09843999999999994,0.009664355444941259
9.999999999998899e-05,516,0.06281538461538456,0.0077488353589319015
9.999999999998899e-05,672,0.030211764705882323,0.005102159898930142
9.999999999998899e-05,864,0.015247987138099554,0.003464036170152593
9.999999999998899e-05,1116,0.012259816207184629,0.005415525297579777
9.999999999998899e-05,1440,0.007019006914764238,0.0070190069147642534
9.999999999998899e-05,1860,0.0005879240402140043,0.0005879240402140048
9.999999999998899e-05,2388,0.001967342120794806,0.0019673421207948073
9.999999999998899e-05,3084,0.0,0.0
9.999999999998899e-05,3972,0.0,0.0
9.999999999998899e-05,5124,0.0,0.0
9.999999999998899e-05,6600,0.0,
0.00013111339374216602,312,0.13177499999999995,0.012192605710388932
0.00013111339374216602,396,0.08943999999999996,0.009573637811247086
0.00013111339374216602,516,0.04499999999999998,0.0062834088510074874
0.00013111339374216602,672,0.024988235294117634,0.004494033607815168
0.00013111339374216602,864,0.012734302229140883,0.003599115634915316
0.00013111339374216602,1116,0.004427736006683375,0.0022555120614046503
0.00013111339374216602,1440,0.0011814170054553668,0.001181417005455374
0.00013111339374216602,1860,0.0,0.0
0.00013111339374216602,2388,0.0,0.0
0.00013111339374216602,3084,0.0,0.0
0.00013111339374216602,3972,0.0,0.0
0.00013111339374216602,5124,0.0,0.0
0.00013111339374216602,6600,0.0,
0.00017190722018589621,312,0.08912499999999995,0.009960312103151858
0.00017190722018589621,396,0.056999999999999974,0.007050383529135609
0.00017190722018589621,516,0.028415384615384596,0.004767881611567783
0.00017190722018589621,672,0.013752941176470586,0.0030709843688036358
0.00017190722018589621,864,0.009978180704597366,0.002953340333760813
0.00017190722018589621,1116,0.004260651629072682,0.00285490610947952
0.00017190722018589621,1440,0.00201535842107092,0.002015358421070919
0.00017190722018589621,1860,0.0,0.0
0.00017190722018589621,2388,0.0,0.0
0.00017190722018589621,3084,0.0,0.0
0.00017190722018589621,3972,0.0,0.0
0.00017190722018589621,5124,0.0,0.0
0.00017190722018589621,6600,0.0,
0.00022539339047344953,312,0.07584999999999999,0.008380677971576218
0.00022539339047344953,396,0.044279999999999986,0.006215811927489241
0.00022539339047344953,516,0.020030769230769224,0.0033354399583756422
0.00022539339047344953,672,0.012352941176470584,0.0027286838607295098
0.00022539339047344953,864,0.003368592974442077,0.0019259619548025937
0.00022539339047344953,1116,0.0005012531328320802,0.0005012531328320817
0.00022539339047344953,1440,0.0,0.0
0.00022539339047344953,1860,0.0,0.0
0.00022539339047344953,2388,0.0,0.0
0.00022539339047344953,3084,0.0,0.0
0.00022539339047344953,3972,0.0,0.0
0.00022539339047344953,5124,0.0,0.0
0.00022539339047344953,6600,0.0,
0.00029552092352025383,312,0.057275000000000006,0.00739585343439304
0.00029552092352025383,396,0.016099999999999993,0.003279503795568018
0.00029552092352025383,516,0.01169230769230769,0.0028818751903746612
0.00029552092352025383,672,0.0024,0.000851265666257841
0.00029552092352025383,864,0.0008166285998647459,0.00045149662256246053
0.00029552092352025383,1116,8.35421888053467e-05,8.35421888053471e-05
0.00029552092352025383,1440,0.0,0.0
0.00029552092352025383,1860,0.0,0.0
0.00029552092352025383,2388,0.0,0.0
0.00029552092352025383,3084,0.0,0.0
0.00029552092352025383,3972,0.0,0.0
0.00029552092352025383,5124,0.0,0.0
0.00029552092352025383,6600,0.0,
0.0003874675120456583,312,0.027350000000000003,0.004449919019406923
0.0003874675120456583,396,0.016819999999999998,0.0033075107297221486
0.0003874675120456583,516,0.007892307692307692,0.0019606829551030375
0.0003874675120456583,672,0.002447058823529412,0.0009811857589976187
0.0003874675120456583,864,0.0007145500248816527,0.0006654000117990441
0.0003874675120456583,1116,0.0,0.0
0.0003874675120456583,1440,0.0,0.0
0.0003874675120456583,1860,0.0,0.0
0.0003874675120456583,2388,0.0,0.0
0.0003874675120456583,3084,0.0,0.0
0.0003874675120456583,3972,0.0,0.0
0.0003874675120456583,5124,0.0,0.0
0.0003874675120456583,6600,0.0,
0.0005080218046913387,312,0.018699999999999998,0.0038247468790351103
0.0005080218046913387,396,0.01248,0.002624030322830744
0.0005080218046913387,516,0.004046153846153845,0.0014683194870198058
0.0005080218046913387,672,0.0008470588235294119,0.0003667471881825879
0.0005080218046913387,864,0.00015311786247463986,0.0001531178624746378
0.0005080218046913387,1116,0.0,0.0
0.0005080218046913387,1440,0.0,0.0
0.0005080218046913387,1860,0.0,0.0
0.0005080218046913387,2388,0.0,0.0
0.0005080218046913387,3084,0.0,0.0
0.0005080218046913387,3972,0.0,0.0
0.0005080218046913387,5124,0.0,0.0
0.0005080218046913387,6600,0.0,
0.0006660846290809097,312,0.016200000000000003,0.0032084426290810023
0.0006660846290809097,396,0.006720000000000001,0.0017153962178412794
0.0006660846290809097,516,0.0018769230769230768,0.0008656881221320574
0.0006660846290809097,672,7.058823529411764e-05,7.058823529411657e-05
0.0006660846290809097,864,0.00033175536869505304,0.00033175536869505613
0.0006660846290809097,1116,0.0,0.0
0.0006660846290809097,1440,0.0,0.0
0.0006660846290809097,1860,0.0,0.0
0.0006660846290809097,2388,0.0,0.0
0.0006660846290809097,3084,0.0,0.0
0.0006660846290809097,3972,0.0,0.0
0.0006660846290809097,5124,0.0,0.0
0.0006660846290809097,6600,0.0,
0.0008733261623828925,312,0.0066,0.0017747083111287808
0.0008733261623828925,396,0.00376,0.0011313453682860765
0.0008733261623828925,516,0.002107692307692308,0.0009916080282793365
0.0008733261623828925,672,7.058823529411764e-05,5.259229354519308e-05
0.0008733261623828925,864,0.0,0.0
0.0008733261623828925,1116,0.0,0.0
0.0008733261623828925,1440,0.0,0.0
0.0008733261623828925,1860,0.0,0.0
0.0008733261623828925,2388,0.0,0.0
0.0008733261623828925,3084,0.0,0.0
0.0008733261623828925,3972,0.0,0.0
0.0008733261623828925,5124,0.0,0.0
0.0008733261623828925,6600,0.0,
0.0011450475699382734,312,0.004199999999999998,0.0012247898228308983
0.0011450475699382734,396,0.0008800000000000001,0.0005902321356669565
0.0011450475699382734,516,0.0007076923076923077,0.0005545259040551706
0.0011450475699382734,672,0.0005294117647058823,0.0004953413066451229
0.0011450475699382734,864,0.0,0.0
0.0011450475699382734,1116,0.0,0.0
0.0011450475699382734,1440,0.0,0.0
0.0011450475699382734,1860,0.0,0.0
0.0011450475699382734,2388,0.0,0.0
0.0011450475699382734,3084,0.0,0.0
0.0011450475699382734,3972,0.0,0.0
0.0011450475699382734,5124,0.0,0.0
0.0011450475699382734,6600,0.0,
0.001501310728908134,312,0.0038250000000000003,0.0013812683581684137
0.001501310728908134,396,0.0012,0.0005474117825363946
0.001501310728908134,516,1.5384615384615384e-05,1.5384615384615543e-05
0.001501310728908134,672,0.00023529411764705883,0.00023529411764706086
0.001501310728908134,864,0.0,0.0
0.001501310728908134,1116,0.0,0.0
0.001501310728908134,1440,0.0,0.0
0.001501310728908134,1860,0.0,0.0
0.001501310728908134,2388,0.0,0.0
0.001501310728908134,3084,0.0,0.0
0.001501310728908134,3972,0.0,0.0
0.001501310728908134,5124,0.0,0.0
0.001501310728908134,6600,0.0,
0.001968419447286651,312,0.0007749999999999999,0.0005294380791742136
0.001968419447286651,396,0.0007199999999999999,0.0005212996771084217
0.001968419447286651,516,0.0,0.0
0.001968419447286651,672,0.0,0.0
0.001968419447286651,864,0.0,0.0
0.001968419447286651,1116,0.0,0.0
0.001968419447286651,1440,0.0,0.0
0.001968419447286651,1860,0.0,0.0
0.001968419447286651,2388,0.0,0.0
0.001968419447286651,3084,0.0,0.0
0.001968419447286651,3972,0.0,0.0
0.001968419447286651,5124,0.0,0.0
0.001968419447286651,6600,0.0,
0.0025808615404180335,312,0.0003,0.0002120258355836761
0.0025808615404180335,396,0.0009800000000000002,0.0006104197016907579
0.0025808615404180335,516,0.0,0.0
0.0025808615404180335,672,0.0,0.0
0.0025808615404180335,864,0.0,0.0
0.0025808615404180335,1116,0.0,0.0
0.0025808615404180335,1440,0.0,0.0
0.0025808615404180335,1860,0.0,0.0
0.0025808615404180335,2388,0.0,0.0
0.0025808615404180335,3084,0.0,0.0
0.0025808615404180335,3972,0.0,0.0
0.0025808615404180335,5124,0.0,0.0
0.0025808615404180335,6600,0.0,
0.0033838551534282058,312,0.0004,0.0003161327884607036
0.0033838551534282058,396,0.00030000000000000003,0.0001927359518801483
0.0033838551534282058,516,0.0,0.0
0.0033838551534282058,672,0.0,0.0
0.0033838551534282058,864,0.0,0.0
0.0033838551534282058,1116,0.0,0.0
0.0033838551534282058,1440,0.0,0.0
0.0033838551534282058,1860,0.0,0.0
0.0033838551534282058,2388,0.0,0.0
0.0033838551534282058,3084,0.0,0.0
0.0033838551534282058,3972,0.0,0.0
0.0033838551534282058,5124,0.0,0.0
0.0033838551534282058,6600,0.0,
0.004436687330978573,312,0.0,0.0
0.004436687330978573,396,0.00023999999999999998,0.0002399999999999992
0.004436687330978573,516,0.0,0.0
0.004436687330978573,672,0.0,0.0
0.004436687330978573,864,0.0,0.0
0.004436687330978573,1116,0.0,0.0
0.004436687330978573,1440,0.0,0.0
0.004436687330978573,1860,0.0,0.0
0.004436687330978573,2388,0.0,0.0
0.004436687330978573,3084,0.0,0.0
0.004436687330978573,3972,0.0,0.0
0.004436687330978573,5124,0.0,0.0
0.004436687330978573,6600,0.0,
0.005817091329374358,312,0.0,0.0
0.005817091329374358,396,0.0,0.0
0.005817091329374358,516,0.0,0.0
0.005817091329374358,672,0.0,0.0
0.005817091329374358,864,0.0,0.0
0.005817091329374358,1116,0.0,0.0
0.005817091329374358,1440,0.0,0.0
0.005817091329374358,1860,0.0,0.0
0.005817091329374358,2388,0.0,0.0
0.005817091329374358,3084,0.0,0.0
0.005817091329374358,3972,0.0,0.0
0.005817091329374358,5124,0.0,0.0
0.005817091329374358,6600,0.0,
0.0076269858590234385,312,0.0,0.0
0.0076269858590234385,396,0.0,0.0
0.0076269858590234385,516,0.0,0.0
0.0076269858590234385,672,0.0,0.0
0.0076269858590234385,864,0.0,0.0
0.0076269858590234385,1116,0.0,0.0
0.0076269858590234385,1440,0.0,0.0
0.0076269858590234385,1860,0.0,0.0
0.0076269858590234385,2388,0.0,0.0
0.0076269858590234385,3084,0.0,0.0
0.0076269858590234385,3972,0.0,0.0
0.0076269858590234385,5124,0.0,0.0
0.0076269858590234385,6600,0.0,
0.010000000000000009,312,0.0,0.0
0.010000000000000009,396,0.0,0.0
0.010000000000000009,516,0.0,0.0
0.010000000000000009,672,0.0,0.0
0.010000000000000009,864,0.0,0.0
0.010000000000000009,1116,0.0,0.0
0.010000000000000009,1440,0.0,0.0
0.010000000000000009,1860,0.0,0.0
0.010000000000000009,2388,0.0,0.0
0.010000000000000009,3084,0.0,0.0
0.010000000000000009,3972,0.0,0.0
0.010000000000000009,5124,0.0,0.0
0.010000000000000009,6600,0.0,
